Date,Open,High,Low,Close,Adj. Close,Volume,Day,Month,Year,DayOfWeek,Quarter,DayOfYear,WeekOfYear,SMA_10,EMA_10,RSI,Daily_Return,Log_Return,EMA_12,EMA_26,MACD,Signal_Line,Rolling_Std_10,Rolling_Std_20,Rolling_Std_50,High-Low,High-PrevClose,Low-PrevClose,TrueRange,ATR,Volume_MA_10,Volume_MA_20,next_day_close
2019-04-25,17.0,17.27,16.4,16.51,16.51,327740895,25,4,2019,3,2,115,17,205.44299999999998,16.51,53.23767443488311,0.0019889279443602303,0.001986952591103265,16.51,16.51,0.0,0.0,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.870000000000001,3.325000000000003,3.0250000000000057,0.870000000000001,9.224999999999998,113708694.80000001,114635121.65,15.68
2019-04-26,16.43,16.45,15.41,15.68,15.68,335410635,26,4,2019,4,2,116,17,205.44299999999998,16.35909090909091,53.23767443488311,-0.05027256208358577,-0.05158024300977492,16.38230769230769,16.44851851851852,-0.06621082621082763,-0.013242165242165527,0.0344572189692646,0.03548613455185452,0.036716730777994276,1.0399999999999991,0.060000000000002274,1.1000000000000014,1.1000000000000014,9.224999999999998,113708694.80000001,114635121.65,16.1
2019-04-29,15.72,16.27,15.48,16.1,16.1,250717140,29,4,2019,0,2,119,18,205.44299999999998,16.311983471074377,53.23767443488311,0.026785714285714413,0.026433257068155646,16.33887573964497,16.42270233196159,-0.0838265923166226,-0.02735905065705694,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.7899999999999991,0.5899999999999999,0.1999999999999993,0.7899999999999991,9.224999999999998,113708694.80000001,114635121.65,15.91
2019-04-30,16.14,16.28,15.8,15.91,15.91,141969420,30,4,2019,1,2,120,18,205.44299999999998,16.238895567242672,53.23767443488311,-0.011801242236024967,-0.011871429640721935,16.272894856622667,16.384724381445917,-0.11182952482324993,-0.04425314549029554,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.4800000000000004,0.17999999999999972,0.3000000000000007,0.4800000000000004,9.224999999999998,113708694.80000001,114635121.65,15.6
2019-05-01,15.92,16.0,15.43,15.6,15.6,160565310,1,5,2019,2,2,121,18,205.44299999999998,16.122732736834912,53.23767443488311,-0.019484600879949743,-0.019676928094204165,16.16937257098841,16.32659664948696,-0.15722407849854747,-0.06684733209194593,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.5700000000000003,0.08999999999999986,0.4800000000000004,0.5700000000000003,9.224999999999998,113708694.80000001,114635121.65,16.27
2019-05-02,16.37,16.48,15.85,16.27,16.27,272390085,2,5,2019,3,2,122,18,205.44299999999998,16.149508602864927,53.23767443488311,0.04294871794871802,0.042052006975455136,16.18485371391327,16.322404305080518,-0.13755059116724766,-0.08098798390700629,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.6300000000000008,0.8800000000000008,0.25,0.8800000000000008,9.224999999999998,113708694.80000001,114635121.65,17.0
2019-05-03,16.26,17.11,16.23,17.0,17.0,355601565,3,5,2019,4,2,123,18,205.44299999999998,16.30414340234403,53.23767443488311,0.04486785494775658,0.04389042282526962,16.31026083484969,16.372596578778257,-0.062335743928567666,-0.07725753591131856,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.879999999999999,0.8399999999999999,0.03999999999999915,0.879999999999999,9.224999999999998,113708694.80000001,114635121.65,17.02
2019-05-06,16.67,17.22,16.57,17.02,17.02,162509145,6,5,2019,0,2,126,19,205.44299999999998,16.43429914737239,53.23767443488311,0.0011764705882353343,0.0011757790890120365,16.419451475642045,16.420552387757645,-0.001100912115600039,-0.06202621115217487,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.6499999999999986,0.21999999999999886,0.4299999999999997,0.6499999999999986,9.224999999999998,113708694.80000001,114635121.65,16.47
2019-05-07,17.12,17.15,16.34,16.47,16.47,151971120,7,5,2019,1,2,127,19,205.44299999999998,16.4407902114865,53.23767443488311,-0.03231492361927146,-0.032848578955679136,16.427228171697113,16.42421517384967,0.0030129978474420227,-0.04901836935225149,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.8099999999999987,0.129999999999999,0.6799999999999997,0.8099999999999987,9.224999999999998,113708694.80000001,114635121.65,16.32
2019-05-08,16.46,16.71,16.28,16.32,16.32,92646600,8,5,2019,2,2,128,19,16.288,16.41882835485259,53.23767443488311,-0.009107468123861429,-0.009149194653587866,16.410731529897557,16.41649553134229,-0.005764001444731548,-0.040367495770747504,0.0344572189692646,0.03548613455185452,0.036716730777994276,0.4299999999999997,0.240000000000002,0.18999999999999773,0.4299999999999997,9.224999999999998,225152191.5,114635121.65,16.13
